id,smoothing_fwhm,high_pass,drift_model,confounds,voxel_norm,r2_mean,r2_median,r2_std,n_voxels_selected,hrf_variability,hrf_representativeness,temporal_snr_mean,temporal_snr_median,temporal_snr_max,spatial_snr_mean,spatial_snr_max,run_to_run_reliability,zero_variance_pct,elapsed_time,status
0,0,,,,,0.002686642004405626,0.0023224222313181775,0.0009311247475404108,241,0.96772823553075,0.944954128440367,9.785590919768612,12.693266868591309,23.49671173095703,0.0,0.0,0.0,0.0,61.77542233467102,success
1,0,,,,demean,0.002686642004405626,0.0023224222313181775,0.0009311247475404108,241,0.9677282355307502,0.944954128440367,9.785590919768612,12.693266868591309,23.49671173095703,0.0,0.0,0.0,0.0,60.754316091537476,success
2,0,,,motion_6,,0.0016350722648660332,0.001733568880241676,0.0012492029040321081,241,0.9849510029444732,0.981651376146789,10.069472927545931,13.231582641601562,24.79656410217285,0.0,0.0,0.0,0.0,60.93258547782898,success
3,0,,,motion_6,demean,0.0016350722648660332,0.001733568880241676,0.0012492029040321081,241,0.9849510029444734,0.981651376146789,10.069472927545931,13.231582641601562,24.79656410217285,0.0,0.0,0.0,0.0,60.97318196296692,success
4,0,,polynomial,,,0.002686642004405626,0.0023224222313181775,0.0009311247475404108,241,0.96772823553075,0.944954128440367,9.785590919768612,12.693266868591309,23.49671173095703,0.0,0.0,0.0,0.0,60.454562187194824,success
5,0,,polynomial,,demean,0.002686642004405626,0.0023224222313181775,0.0009311247475404108,241,0.9677282355307502,0.944954128440367,9.785590919768612,12.693266868591309,23.49671173095703,0.0,0.0,0.0,0.0,60.644092082977295,success
6,0,,polynomial,motion_6,,0.0016350722648660332,0.001733568880241676,0.0012492029040321081,241,0.9849510029444732,0.981651376146789,10.069472927545931,13.231582641601562,24.79656410217285,0.0,0.0,0.0,0.0,60.93006443977356,success
7,0,,polynomial,motion_6,demean,0.0016350722648660332,0.001733568880241676,0.0012492029040321081,241,0.9849510029444734,0.981651376146789,10.069472927545931,13.231582641601562,24.79656410217285,0.0,0.0,0.0,0.0,60.75473952293396,success
8,0,0.0078125,,,,0.003916136054308399,0.0034886704370671318,0.0023539834185318602,241,0.08738637700662481,0.1078838174273859,-0.0014638652915029502,0.0,0.10265211015939713,0.0,0.0,0.0,0.0,61.23068928718567,success
9,0,0.0078125,,,demean,0.003916136054308399,0.0034886704370671318,0.0023539834185318602,241,0.08738637700662483,0.1078838174273859,-0.0014638652915029502,0.0,0.10265211015939713,0.0,0.0,0.0,0.0,61.23798966407776,success
10,0,0.0078125,,motion_6,,0.004059778609565121,0.00378492817491749,0.0024047704971467505,241,0.0452172237720171,0.016597510373443983,-0.0008969906282463797,0.0,0.13473057746887207,0.0,0.0,0.0,0.0,61.6833393573761,success
11,0,0.0078125,,motion_6,demean,0.004059778609565121,0.00378492817491749,0.0024047704971467505,241,0.0452172237720171,0.016597510373443983,-0.0008969906282463797,0.0,0.13473057746887207,0.0,0.0,0.0,0.0,61.70045828819275,success
12,6,,,,,,,,241,0.9451318026985065,0.9045643153526971,51.272446600971996,57.32121658325195,110.58440399169922,0.0,0.0,0.0,0.0,101.42427229881287,success
13,6,,,,demean,,,,241,0.9451318026985067,0.9045643153526971,51.272446600971996,57.32121658325195,110.58440399169922,0.0,0.0,0.0,0.0,101.6065845489502,success
14,6,,,motion_6,,,,,241,0.9971437268286227,1.0,59.48518811813759,66.75821685791016,115.38859558105469,0.0,0.0,0.0,0.0,101.19009804725647,success
15,6,,,motion_6,demean,,,,241,0.9971437268286225,1.0,59.48518811813759,66.75821685791016,115.38859558105469,0.0,0.0,0.0,0.0,102.32911372184753,success
16,6,,polynomial,,,,,,241,0.9451318026985065,0.9045643153526971,51.272446600971996,57.32121658325195,110.58440399169922,0.0,0.0,0.0,0.0,101.11457467079163,success
17,6,,polynomial,,demean,,,,241,0.9451318026985067,0.9045643153526971,51.272446600971996,57.32121658325195,110.58440399169922,0.0,0.0,0.0,0.0,101.05992078781128,success
18,6,,polynomial,motion_6,,,,,241,0.9971437268286227,1.0,59.48518811813759,66.75821685791016,115.38859558105469,0.0,0.0,0.0,0.0,101.26106381416321,success
19,6,,polynomial,motion_6,demean,,,,241,0.9971437268286225,1.0,59.48518811813759,66.75821685791016,115.38859558105469,0.0,0.0,0.0,0.0,101.3312611579895,success
20,6,0.0078125,,,,0.0037669891430836006,0.0030992276957855225,0.0023347541417937153,241,0.43830843546294485,0.43983402489626555,0.008343546874519719,0.009101134724915028,0.08160300552845001,0.0,0.0,0.0,0.0,101.76671171188354,success
21,6,0.0078125,,,demean,0.0037669891430836006,0.0030992276957855225,0.0023347541417937153,241,0.43830843546294496,0.43983402489626555,0.008343546874519719,0.009101134724915028,0.08160300552845001,0.0,0.0,0.0,0.0,101.26932549476624,success
